domain	country	A	NS	CNAME	MX	TXT
heavensfruit.co.uk	DE	217.160.0.59	ns1080.ui-dns.com,ns1066.ui-dns.biz,ns1118.ui-dns.org,ns1120.ui-dns.de		{'exchange': 'heavensfruit-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
heavenshaw.co.uk	GB	88.208.252.131	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.heavenshaw.co.uk', 'priority': 10}	
heavenshemp.co.uk	US	108.178.44.26	ns31.domaincontrol.com,ns32.domaincontrol.com		{'exchange': 'heavenshemp-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
dwlprojects.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
heavymetalstest.co.uk	US	216.177.137.120	ns2.heavymetalstest.co.uk,ns10.websitesource.com,ns.heavymetalstest.co.uk,ns11.websitesource.com		{'exchange': 'mail.heavymetalstest.co.uk', 'priority': 10}	v=spf1 +a +mx -all
dwmorland.uk	DE	217.160.0.190	ns1117.ui-dns.org,ns1123.ui-dns.biz,ns1034.ui-dns.de,ns1038.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
dworniakbonelapsa.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
dwpconsulting.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
heavypetal.co.uk	US	198.49.23.145,198.185.159.144,198.49.23.144,198.185.159.145	ns2.hosteurope.com,ns2.123-reg.co.uk		{'exchange': 'heavypetal-co-uk.mail.protection.outlook.com', 'priority': 1}	v=spf1 include:spf.protection.outlook.com -all
dws.uk	US	165.160.15.20,165.160.13.20	dns1.cscdns.net,dns2.cscdns.net		{'exchange': 'custmx.cscdns.net', 'priority': 10}	
heavyscrans.co.uk	US	184.168.131.241	ns59.domaincontrol.com,ns60.domaincontrol.com			
dwscientific.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
dwservices.uk			ns1.interdns.co.uk,ns2.interdns.co.uk			
heavysixer.co.uk	GB	79.170.40.4	ns2.heartinternet.co.uk,ns.heartinternet.co.uk		{'exchange': 'mail.heavysixer.co.uk', 'priority': 10}	
dwtrader.uk			ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk			
heavystar.co.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk			
dwwhitsonltd.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
dwyfor.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
heavytorquelive.co.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk			
dx-delivery.uk	US	184.168.221.42	ns66.domaincontrol.com,ns65.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heavyweightdesigns.co.uk			dns2.registrar-servers.com,dns1.registrar-servers.com			
dx-dispatch.uk	US	184.168.221.50	ns77.domaincontrol.com,ns78.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heavyweightwalker.co.uk	GB	88.208.252.9	ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.heavyweightwalker.co.uk', 'priority': 10}	
dx-secure-mail.uk	US	184.168.131.241	ns77.domaincontrol.com,ns78.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
hebascabar.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
dx-transport.uk	US	184.168.221.54	ns66.domaincontrol.com,ns65.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
hebascastay.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heirsandgracesdaynursery.co.uk	GB	79.170.44.80	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'heirsandgracesdaynursery-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
heirseek.co.uk	GB	80.64.53.231	c.ns.cloudbuy.com,d.ns.cloudbuy.com,b.ns.cloudbuy.com,a.ns.cloudbuy.com		{'exchange': 'heirseek-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
heirsofportsmouth.co.uk	GB	91.238.160.202	ns2.polarsun.co.uk,ns1.polarsun.co.uk		{'exchange': 'heirsofportsmouth.co.uk', 'priority': 0}	
dxfc.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heirtraceremote.co.uk	DE	217.160.39.250	ns1019.ui-dns.com,ns1019.ui-dns.org,ns1019.ui-dns.biz,ns1019.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
dxminiatures.uk			ns1.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk			
heise-channel.co.uk	DE	193.99.144.80	robotns2.second-ns.de,ns.heise.de		{'exchange': '', 'priority': 0}	
dxparcel-exchange.uk	US	184.168.221.59	ns66.domaincontrol.com,ns65.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
dxparcel-xchange.uk	US	184.168.221.53	ns65.domaincontrol.com,ns66.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heise-reseller.co.uk	DE	193.99.144.80	ns.heise.de,robotns2.second-ns.de		{'exchange': '', 'priority': 0}	
heisec.co.uk	DE	193.99.144.80	robotns2.second-ns.de,ns.heise.de		{'exchange': '', 'priority': 0}	
dxparcelstop.uk			ns55.domaincontrol.com,ns56.domaincontrol.com			
heisenbergensemble.co.uk	CA	70.33.246.110	ns1.hostpapa.com,ns2.hostpapa.com		{'exchange': 'heisenbergensemble.co.uk', 'priority': 0}	v=spf1 +a +mx +ip4:70.33.246.110 +include:spf.antispamcloud.com ~all
dxr-moto-equipment.uk	FR	217.70.184.38	c.dns.gandi.net,b.dns.gandi.net,a.dns.gandi.net		{'exchange': 'fb.mail.gandi.net', 'priority': 50},{'exchange': 'spool.mail.gandi.net', 'priority': 10}	v=spf1 include:_mailcust.gandi.net ?all
heiser.co.uk	GB	85.233.160.145	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'athena.hosts.co.uk', 'priority': 30},{'exchange': 'hermes.hosts.co.uk', 'priority': 30}	v=spf1 include:spf.hosts.co.uk ~all
dy-holman.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx.zoho.com', 'priority': 10},{'exchange': 'mx.zoho.com', 'priority': 20}	v=spf1 mx include:zoho.com ~all
heissverstemmen.co.uk	DE	188.94.254.140	ns3.dnsmittwald.de,ns2.typo3server.com,dns.typo3server.com		{'exchange': 'mx3.agenturserver.de', 'priority': 20},{'exchange': 'mx4.agenturserver.de', 'priority': 50},{'exchange': 'mx2.agenturserver.de', 'priority': 10},{'exchange': 'mx1.agenturserver.de', 'priority': 10}	
dyaco.uk	GB	79.170.40.4	ns2.heartinternet.uk,ns.heartinternet.uk		{'exchange': 'mail.dyaco.uk', 'priority': 10}	
dyball.uk			dns3.uk2.net,dns2.uk2.net,dns1.uk2.net		{'exchange': 'mx.dyball.uk.cust.a.hostedemail.com', 'priority': 10}	
dycedentalpractice.uk	GB	79.170.44.121	ns2.ecosse-online.co.uk,ns1.ecosse-online.co.uk		{'exchange': 'mail.dycedentalpractice.uk', 'priority': 10}	
dydesign.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
heistudio.co.uk	US	184.168.221.42	ns12.domaincontrol.com,ns11.domaincontrol.com			
dyedwestie.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heitner.co.uk	GB	88.208.252.9	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'heitner-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
dyeing-crafts.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
heiuk.co.uk	GB	94.126.40.44	ns0.lcn.com,ns2.lcn.com,ns1.lcn.com		{'exchange': 'mx0.lcn.com', 'priority': 10},{'exchange': 'mx1.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ?all
dyestar.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
dyfa.uk	DK	194.150.113.122	ns2.dandomain.dk,ns3.dandomain.dk,ns.dandomain.dk		{'exchange': 'mx01.dandomain.dk', 'priority': 10}	
hejproductions.co.uk	IE	46.51.204.184	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
dyfi-cottages.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
dylanarnold.uk	GB	94.136.40.90	ns2.123-reg.co.uk,ns.123-reg.co.uk			
heknows.co.uk	US	66.147.244.185	ns1.bluehost.com,ns2.bluehost.com		{'exchange': 'mail.heknows.co.uk', 'priority': 0}	v=spf1 a mx ptr include:bluehost.com ?all
dylanhall.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
hektors-house.co.uk	DE	217.160.0.118	ns67.1and1.co.uk,ns68.1and1.co.uk		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
dylanmortimer.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helachau.co.uk	US	64.202.189.170	ns2.p08.dynect.net,ns4.p08.dynect.net,ns3.p08.dynect.net,ns1.p08.dynect.net		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 10}	v=spf1 include:_spf.myheritage.com -all
dyman.uk	US	184.168.221.42	ns59.domaincontrol.com,ns60.domaincontrol.com			
helahel.co.uk	DE	217.160.169.201	ns1044.ui-dns.de,ns1044.ui-dns.biz,ns1044.ui-dns.org,ns1044.ui-dns.com		{'exchange': 'helahel.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 20}	
dymaxion-music.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
dymensions.uk	US	50.63.202.35	ns01.domaincontrol.com,ns02.domaincontrol.com			
dymo-stamps.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
dynagrip.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helang.co.uk	US	160.153.136.3	ns16.domaincontrol.com,ns15.domaincontrol.com		{'exchange': 'helang-co-uk.mail.protection.outlook.com', 'priority': 0}	MS=ms52935497
dynamic-composites.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helcio.co.uk	GB	88.208.252.165	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.helcio.co.uk', 'priority': 10}	
dynamic-materials.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
held.co.uk	DE	78.46.49.2	ns2.registerplus.net,hz1.registerplus.net,ns.registerplus.net		{'exchange': 'mail.held.co.uk', 'priority': 10}	v=spf1 mx a a:evps1.registerplus.net include:registerplus.net ~all
dynamic-outcomes.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
held-motorcycle-clothing.co.uk	GB	94.136.40.82	ns2.hosteurope.com,ns.hosteurope.com			
heldaconsulting.co.uk	GB	88.208.252.140	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.heldaconsulting.co.uk', 'priority': 10}	
dynamic-vas.uk	GB	89.248.61.120	ns3.4uh.net,ns2.4uh.net,ns1.4uh.net,ns4.4uh.net		{'exchange': 'mx2.4uh.net', 'priority': 20},{'exchange': 'mx1.4uh.net', 'priority': 10}	
dynamicelectrixltd.uk	US	184.168.221.49	ns14.domaincontrol.com,ns13.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heldtoaccount.co.uk	GB	139.59.197.234	ns3.siteopia.net,ns1.siteopia.net,ns2.siteopia.net		{'exchange': 'mail.siteopia.com', 'priority': 10}	v=spf1 mx a include:spf.siteopia.com ?all
dynamicfreightshipping.uk	US	184.168.131.241	ns61.domaincontrol.com,ns62.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
helebartonfarm.co.uk	GB	213.129.84.167	ns21.net-hosted.com,ns22.net-hosted.com		{'exchange': 'mx2.solardns.com', 'priority': 20},{'exchange': 'mx1.solardns.com', 'priority': 10}	v=spf1 +a +mx +ip4:213.129.84.167 ~all
dynamicgraphics.uk	GB	176.32.230.52	ns.heartinternet.uk,ns2.heartinternet.uk		{'exchange': 'mail.dynamicgraphics.uk', 'priority': 10}	
helebear.co.uk	GB	109.228.54.163	ns1122.ui-dns.de,ns1034.ui-dns.org,ns1034.ui-dns.com,ns1089.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
helec.co.uk	GB	134.213.226.212	ns.rackspace.com,ns2.rackspace.com		{'exchange': 'mx1.emailsrvr.com', 'priority': 10},{'exchange': 'mx2.emailsrvr.com', 'priority': 20}	
dynamicleds.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
heleenaphotography.co.uk	GB	5.77.48.126	ns.heleenaphotography.co.uk		{'exchange': 'mail.heleenaphotography.co.uk', 'priority': 10}	v=spf1 a mx ip4:5.77.48.126 ip4:5.77.48.127 mx:mail.ukc06.uk mx:ukc06.uk ~all
heleenkist.co.uk	US	184.168.221.47	ns72.domaincontrol.com,ns71.domaincontrol.com			
dynamicminds.uk	GB	185.17.151.122	ns1.magicworld.co.uk,ns2.magicworld.co.uk		{'exchange': 'dynamicminds.uk', 'priority': 0}	
helehex.co.uk	US	23.236.62.147	ns12.wixdns.net,ns13.wixdns.net			
helemacamberwelllondon.co.uk	IE	54.171.90.223,52.48.64.111	ns2.takeaway.com,ns1.takeaway.com			
dynamicreasoning.uk			ns.34sp.com,ns2.34sp.com			
dynamicropeaccess.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net			
helen-chan.co.uk	DE	217.160.0.131	ns1084.ui-dns.de,ns1027.ui-dns.org,ns1025.ui-dns.com,ns1080.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
dynamics-365.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk			
helen-e.co.uk	GB	87.117.197.49	ns1.domaincheck.co.uk,ns2.domaincheck.co.uk			
dynamics-nav.uk	US	160.153.16.64	ns34.domaincontrol.com,ns33.domaincontrol.com		{'exchange': 'mail.dynamics-nav.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
helen-elizabeth.co.uk	GB	176.32.230.17	ns1.pulse8server10.co.uk,ns2.pulse8server10.co.uk		{'exchange': 'mail.helen-elizabeth.co.uk', 'priority': 10}	v=spf1 exists:%{i}.mta.spf.extendcp.co.uk exists:%{i}.web.spf.extendcp.co.uk -all
dynamicsbs.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
dynamicsounds.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helen-graper.co.uk	DE	217.160.0.175	ns1069.ui-dns.de,ns1069.ui-dns.com,ns1069.ui-dns.org,ns1069.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
dynamicstesting.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helen-hadley.co.uk	DE	217.160.223.138	ns1070.ui-dns.de,ns1070.ui-dns.com,ns1070.ui-dns.org,ns1070.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
dynamicwebs.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helen-jihyounggong.co.uk	US	23.236.62.147	ns15.wixdns.net,ns14.wixdns.net			
dynamicworking.uk			ns3.meganameservers.eu,ns1.meganameservers.eu,ns2.meganameservers.eu		{'exchange': 'easymx2.easily.co.uk', 'priority': 10},{'exchange': 'rhea.easily.co.uk', 'priority': 10}	
helen-m-stevens.co.uk	US	50.63.202.41	ns16.domaincontrol.com,ns15.domaincontrol.com			
helen-marshall.co.uk	US	50.63.202.60	ns72.domaincontrol.com,ns71.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
helen-pickford.co.uk	GB	79.170.40.4	ns2.heartinternet.co.uk,ns.heartinternet.co.uk		{'exchange': 'mail.helen-pickford.co.uk', 'priority': 10}	
dynamixcloud.uk	CA	64.99.64.37	ns3.systemdns.com,ns1.systemdns.com,ns2.systemdns.com			
dynamoconstruction.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
dynamosecurityservices.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helen-thomas.co.uk	GB	87.239.16.103	ns2.1st4domains.co.uk,ns1.1st4domains.co.uk,ns4.1st4domains.co.uk		{'exchange': 'mail.helen-thomas.co.uk', 'priority': 10}	v=spf1 +a +mx ~all
dynamoworks.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net			
helen-woodland.co.uk	US	184.168.221.59	ns42.domaincontrol.com,ns41.domaincontrol.com		{'exchange': 'helenwoodland-co-uk01c.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
helena-homes.co.uk	GB	94.136.40.51	ns2.hosteurope.com,ns.hosteurope.com			
dynaudio.uk	DE	212.114.33.35	ns2.is-fun.net,ns1.is-fun.net		{'exchange': 'mail13.is-fun.net', 'priority': 100}	v=spf1 a mx ip4:212.114.33.0/24 ip4:212.114.34.0/24 ip4:212.114.35.0/24 ip4:212.114.36.0/24 ip4:212.114.37.0/24 ~all
helenaannemay.co.uk	US	23.236.62.147	ns5.wixdns.net,ns4.wixdns.net		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
dyne.uk	GB	185.17.180.72	ns1.stenning.uk,ns2.stenning.uk			
helenaartphoto.co.uk	US	23.236.62.147	ns3.wixdns.net,ns2.wixdns.net			google-site-verification=hI5Xpi3IZ3gtNWOPby_M2JTkCda-Sxo_yxZhK0Glcoo
helenabell.co.uk	GB	94.136.40.51	ns2.hosteurope.com,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
dynmh.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenacarrington.co.uk	US	104.24.111.177,104.24.110.177	lou.ns.cloudflare.com,aria.ns.cloudflare.com		{'exchange': 'mail.helenacarrington.co.uk', 'priority': 0}	
dynniq.uk	GB	77.240.13.184	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net			
helenacrossland.co.uk	US	54.172.239.26	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	v=spf1 include:spf.hosts.co.uk ~all
helenacullinan.co.uk	DE	91.195.240.135	ns3.meganameservers.eu,ns2.meganameservers.eu,ns1.meganameservers.eu		{'exchange': 'mx3c51.megamailservers.eu', 'priority': 110},{'exchange': 'mx1c51.megamailservers.eu', 'priority': 10},{'exchange': 'mx2c51.megamailservers.eu', 'priority': 100}	
dynomacc.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenaextra.co.uk	IE	54.76.134.75	ns.hosteurope.com,ns2.hosteurope.com		{'exchange': 'eu-smtp-inbound-1.mimecast.com', 'priority': 10},{'exchange': 'eu-smtp-inbound-2.mimecast.com', 'priority': 20}	lk2ojkfqoder0bea6365098pri
dynutrition.uk	US	23.236.62.147	ns6.wixdns.net,ns7.wixdns.net		{'exchange': 'mail.dynutrition.uk', 'priority': 10}	
dyqani.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenagood.co.uk	GB	95.128.129.132	ns1.edgehosts.com,ns2.edgehosts.com		{'exchange': 'mail0.helenagood.co.uk', 'priority': 52},{'exchange': 'mail.helenagood.co.uk', 'priority': 41}	v=spf1 a mx ptr ~all
dysentery.uk			server2.adsonline.co.uk			
dyskretna.uk	RU	93.179.121.13	fred.ns.cloudflare.com,elle.ns.cloudflare.com			
dyslexi.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenajanepermanentcosmetics.co.uk	IE	52.48.251.100	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenakennedy.co.uk	GB	185.151.28.154	ns1.stackdns.com,ns2.stackdns.com,ns4.stackdns.com,ns3.stackdns.com		{'exchange': 'ALT4.ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ALT1.ASPMX.L.GOOGLE.COM', 'priority': 5},{'exchange': 'ALT2.ASPMX.L.GOOGLE.COM', 'priority': 5},{'exchange': 'ALT3.ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ASPMX.L.GOOGLE.COM', 'priority': 1}	v=spf1 include:_spf.google.com ~all
dyslexialearningsolutions.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net			
dyslexiaplus.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenallison.co.uk	GB	79.170.40.242	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.helenallison.co.uk', 'priority': 10}	
dyslexiascotlandnortheast.uk			ns1.cloudnext.net,ns2.cloudnext.net			
helenamactaggart.co.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'helenamactaggart-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
