domain	country	A	NS	CNAME	MX	TXT
heavenly-hideaways.co.uk	GB	94.136.40.51	ns2.hosteurope.com,ns.hosteurope.com			
heavenly-nights.co.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
heavenly-riches.co.uk	DE	173.249.9.4	ns20.domaincontrol.com,ns19.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	5r911j1covucu4pcc3g7gaq5bm
heavenly-scent.co.uk	US	23.236.62.147	ns6.wixdns.net,ns7.wixdns.net		{'exchange': 'mx3.pub.mailpod2-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod2-cph3.one.com', 'priority': 10},{'exchange': 'mx2.pub.mailpod2-cph3.one.com', 'priority': 10}	
heavenly-skin.co.uk	DE	217.160.230.210	ns1118.ui-dns.com,ns1118.ui-dns.biz,ns1118.ui-dns.org,ns1118.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heavenly-touch.co.uk	US	104.27.129.184,104.27.128.184	tara.ns.cloudflare.com,chip.ns.cloudflare.com			
heavenlyacting.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
heavenlyadorned.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlyaupairs.co.uk	DE	217.160.0.104	ns1122.ui-dns.com,ns1122.ui-dns.de,ns1122.ui-dns.biz,ns1122.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
heavenlybakesncakes.co.uk	GB	185.151.28.158	ns2.eco-dns.co.uk,ns4.eco-dns.co.uk,ns1.eco-dns.co.uk,ns3.eco-dns.co.uk		{'exchange': 'mx.stackmail.com', 'priority': 10}	
heavenlybeer.co.uk	GB	79.170.40.4	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.heavenlybeer.co.uk', 'priority': 10}	
heavenlybeers.co.uk	GB	79.170.40.4	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.heavenlybeers.co.uk', 'priority': 10}	
heavenlyblends.co.uk	DE	217.160.231.67	ns1126.ui-dns.org,ns1126.ui-dns.de,ns1126.ui-dns.com,ns1126.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
heavenlyblooms.co.uk	DE	217.160.0.75	ns1016.ui-dns.org,ns1016.ui-dns.biz,ns1016.ui-dns.com,ns1016.ui-dns.de		{'exchange': 'mx00.schlund.de', 'priority': 10},{'exchange': 'mx01.schlund.de', 'priority': 10}	
heavenlyboots.co.uk	US	184.168.221.50	ns35.domaincontrol.com,ns36.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heavenlycake.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk			
heavenlycakeangel.co.uk	GB	5.77.61.129	ns113.eukdns.com,ns112.eukdns.com		{'exchange': 'heavenlycakeangel.co.uk', 'priority': 0}	v=spf1 +a +mx +ip4:5.77.61.129 +ip4:DEFAULT ~all
heavenlycakedays.co.uk	US	192.64.119.59	dns1.registrar-servers.com,dns2.registrar-servers.com,dns5.registrar-servers.com,dns3.registrar-servers.com,dns4.registrar-servers.com		{'exchange': 'eforward4.registrar-servers.com', 'priority': 15},{'exchange': 'eforward5.registrar-servers.com', 'priority': 20},{'exchange': 'eforward1.registrar-servers.com', 'priority': 10},{'exchange': 'eforward3.registrar-servers.com', 'priority': 10},{'exchange': 'eforward2.registrar-servers.com', 'priority': 10}	v=spf1 include:spf.efwd.registrar-servers.com ~all
heavenlycards.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
heavenlycleaningservices.co.uk	US	192.0.78.25,192.0.78.24	ns3.wordpress.com,ns2.wordpress.com,ns1.wordpress.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
heavenlycode.co.uk	GB	185.145.202.168	ns.heavenlycode.co.uk		{'exchange': 'mail.heavenlycode.co.uk', 'priority': 10}	
heavenlyconnections.co.uk	US	184.168.221.42	ns45.domaincontrol.com,ns46.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
heavenlycupcakes.co.uk	US	199.59.242.151	ns2.bodis.com,ns1.bodis.com		{'exchange': 'mx76.mb1p.com', 'priority': 0},{'exchange': 'mx76.m2bp.com', 'priority': 10}	
heavenlycurtains.co.uk	US	50.62.160.73	ns48.domaincontrol.com,ns47.domaincontrol.com			
